session,trial,condition
2,1,Office
2,2,Food
2,3,Office
2,4,Cafe
2,5,Office
2,6,Party
3,1,Office
3,2,Cafe
3,3,Office
3,4,Party
3,5,Office
3,6,Food
4,1,Office
4,2,Party
4,3,Office
4,4,Food
4,5,Office
4,6,Cafe
5,1,Office
5,2,Food
5,3,Office
5,4,Party
5,5,Office
5,6,Cafe
6,1,Office
6,2,Party
6,3,Office
6,4,Food
6,5,Office
6,6,Cafe
7,1,Office
7,2,Food
7,3,Office
7,4,Party
7,5,Office
7,6,Cafe
8,1,Office
8,2,Cafe
8,3,Office
8,4,Party
8,5,Office
8,6,Food
9,1,Office
9,2,Food
9,3,Office
9,4,Party
9,5,Office
9,6,Cafe
10,1,Office
10,2,Party
10,3,Office
10,4,Cafe
10,5,Office
10,6,Food
11,1,Office
11,2,Food
11,3,Office
11,4,Party
11,5,Office
11,6,Cafe
12,1,Office
12,2,Cafe
12,3,Office
12,4,Party
12,5,Office
12,6,Food
13,1,Office
13,2,Cafe
13,3,Office
13,4,Party
13,5,Office
13,6,Food
14,1,Office
14,2,Food
14,3,Office
14,4,Cafe
14,5,Office
14,6,Party
15,1,Office
15,2,Food
15,3,Office
15,4,Cafe
15,5,Office
15,6,Party
16,1,Office
16,2,Cafe
16,3,Office
16,4,Party
16,5,Office
16,6,Food
17,1,Office
17,2,Cafe
17,3,Office
17,4,Food
17,5,Office
17,6,Party
18,1,Office
18,2,Food
18,3,Office
18,4,Cafe
18,5,Office
18,6,Party
19,1,Office
19,2,Party
19,3,Office
19,4,Food
19,5,Office
19,6,Cafe
20,1,Office
20,2,Cafe
20,3,Office
20,4,Party
20,5,Office
20,6,Food
21,1,Office
21,2,Food
21,3,Office
21,4,Cafe
21,5,Office
21,6,Party
22,1,Office
22,2,Food
22,3,Office
22,4,Cafe
22,5,Office
22,6,Party
23,1,Office
23,2,Cafe
23,3,Office
23,4,Party
23,5,Office
23,6,Food
24,1,Office
24,2,Food
24,3,Office
24,4,Cafe
24,5,Office
24,6,Party
25,1,Office
25,2,Party
25,3,Office
25,4,Food
25,5,Office
25,6,Cafe
26,1,Office
26,2,Food
26,3,Office
26,4,Cafe
26,5,Office
26,6,Party
27,1,Office
27,2,Food
27,3,Office
27,4,Cafe
27,5,Office
27,6,Party
28,1,Office
28,2,Party
28,3,Office
28,4,Cafe
28,5,Office
28,6,Food
29,1,Office
29,2,Cafe
29,3,Office
29,4,Party
29,5,Office
29,6,Food
30,1,Office
30,2,Party
30,3,Office
30,4,Food
30,5,Office
30,6,Cafe
31,1,Office
31,2,Cafe
31,3,Office
31,4,Party
31,5,Office
31,6,Food
32,1,Office
32,2,Food
32,3,Office
32,4,Cafe
32,5,Office
32,6,Party
33,1,Office
33,2,Cafe
33,3,Office
33,4,Food
33,5,Office
33,6,Party
34,1,Office
34,2,Cafe
34,3,Office
34,4,Food
34,5,Office
34,6,Party
35,1,Office
35,2,Food
36,1,Office
36,2,Party
36,3,Office
36,4,Cafe
36,5,Office
36,6,Food
37,1,Office
37,2,Food
37,3,Office
37,4,Cafe
37,5,Office
37,6,Party
38,1,Office
38,2,Food
38,3,Office
38,4,Party
38,5,Office
38,6,Cafe
39,1,Office
39,2,Party
39,3,Office
39,4,Food
39,5,Office
39,6,Cafe
40,1,Office
40,2,Party
40,3,Office
40,4,Cafe
40,5,Office
40,6,Food
41,1,Office
41,2,Party
41,3,Office
41,4,Food
41,5,Office
41,6,Cafe
42,1,Office
42,2,Party
42,3,Office
42,4,Cafe
42,5,Office
42,6,Food
43,1,Office
43,2,Cafe
43,3,Office
43,4,Food
43,5,Office
43,6,Party
45,1,Office
45,2,Food
45,3,Office
45,4,Cafe
45,5,Office
45,6,Party
46,1,Office
46,2,Cafe
46,3,Office
46,4,Party
46,5,Office
46,6,Food
47,1,Office
47,2,Party
47,3,Office
47,4,Food
47,5,Office
47,6,Cafe
48,1,Office
48,2,Food
48,3,Office
48,4,Party
48,5,Office
48,6,Cafe
49,1,Office
49,2,Cafe
49,3,Office
49,4,Food
49,5,Office
49,6,Party
