Pair,block1_lead,block1_1,block1_2,block1_3,block1_4,block1_5,block1_6,block2_1,block2_2,block2_3,block2_4,block2_5,block2_6
1,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
2,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
3,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
4,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
5,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
6,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
7,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
8,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
9,P2,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
10,P1,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
11,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
12,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
13,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
14,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
15,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
16,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
17,P1,b2b,uni,f2f,uni,f2f,b2b,b2b,uni,f2f,uni,f2f,b2b
18,P2,b2b,f2f,uni,f2f,uni,b2b,b2b,f2f,uni,f2f,uni,b2b
